,Website,City,Available
0,https://5newsonline.com,Toronto,Y
1,https://5newsonline.com,London,Y
2,https://5newsonline.com,Milan,Y
3,https://5newsonline.com,Frankfurt,Y
4,https://5newsonline.com,Vancouver,Y
5,https://5newsonline.com,Haarlem,Y
6,https://5newsonline.com,Sydney,Y
7,https://5newsonline.com,Amsterdam,Y
8,https://5newsonline.com,Prague,Y
9,https://5newsonline.com,Eindhoven,Y
10,https://5newsonline.com,Groningen,Y
11,https://5newsonline.com,Lelystad,Y
12,https://5newsonline.com,Hamburg,Y
13,https://5newsonline.com,Brussels,Y
14,https://5newsonline.com,Berlin,Y
15,https://5newsonline.com,Lille,Y
16,https://5newsonline.com,Dublin,Y
17,https://5newsonline.com,Edinburgh,Y
18,https://5newsonline.com,Salzburg,Y
19,https://5newsonline.com,Tokyo,Y
20,https://5newsonline.com,Los Angeles,Y
21,https://5newsonline.com,Göteborg,Y
22,https://5newsonline.com,Palermo,Y
23,https://5newsonline.com,New York,Y
24,https://5newsonline.com,San Diego,Y
25,https://5newsonline.com,Seattle,Y
26,https://5newsonline.com,Guadalajara,Y
27,https://5newsonline.com,Tampa,Y
28,https://5newsonline.com,Singapore,Y
29,https://5newsonline.com,Oslo,Y
30,https://5newsonline.com,Rome,Y
31,https://5newsonline.com,Leipzig,Y
32,https://5newsonline.com,Auckland,Y
33,https://5newsonline.com,Honolulu,Y
34,https://5newsonline.com,Hong Kong,Y
35,https://5newsonline.com,Tel Aviv,Y
36,https://5newsonline.com,Jakarta,Y
37,https://5newsonline.com,Seoul,Y
38,https://5newsonline.com,New Delhi,Y
39,https://5newsonline.com,Buenos Aires,Y
40,https://5newsonline.com,Paris,Y
41,https://5newsonline.com,Beijing,N
42,https://www.99acres.com,Tokyo,Y
43,https://www.99acres.com,Hong Kong,Y
44,https://www.99acres.com,Hamburg,Y
45,https://www.99acres.com,Prague,Y
46,https://www.99acres.com,Los Angeles,Y
47,https://www.99acres.com,Berlin,Y
48,https://www.99acres.com,London,Y
49,https://www.99acres.com,Amsterdam,Y
50,https://www.99acres.com,Frankfurt,Y
51,https://www.99acres.com,Eindhoven,Y
52,https://www.99acres.com,Haarlem,Y
53,https://www.99acres.com,Dublin,Y
54,https://www.99acres.com,Milan,Y
55,https://www.99acres.com,Salzburg,Y
56,https://www.99acres.com,Brussels,Y
57,https://www.99acres.com,Palermo,Y
58,https://www.99acres.com,Lille,Y
59,https://www.99acres.com,Singapore,Y
60,https://www.99acres.com,Groningen,Y
61,https://www.99acres.com,Göteborg,Y
62,https://www.99acres.com,Lelystad,Y
63,https://www.99acres.com,Seattle,Y
64,https://www.99acres.com,Leipzig,Y
65,https://www.99acres.com,Jakarta,Y
66,https://www.99acres.com,Sydney,Y
67,https://www.99acres.com,San Diego,Y
68,https://www.99acres.com,Tampa,Y
69,https://www.99acres.com,Vancouver,Y
70,https://www.99acres.com,New Delhi,Y
71,https://www.99acres.com,Edinburgh,Y
72,https://www.99acres.com,Oslo,Y
73,https://www.99acres.com,New York,Y
74,https://www.99acres.com,Auckland,Y
75,https://www.99acres.com,Seoul,Y
76,https://www.99acres.com,Buenos Aires,Y
77,https://www.99acres.com,Toronto,Y
